date,buy_signals,hold_signals,sell_signals,capital,unrealized_pnl,realized_pnl,total_pnl,total_value,return_percent,positions_count
2023-03-17,10,20,16,507176.52,10859.96,0.0,10859.96,518036.48,1.09,10
2023-03-24,7,24,15,432052.15,7011.8,0.0,7011.8,439063.95,0.7,13
2023-03-31,14,23,9,292171.48,20371.62,-730.26,19641.36,312543.1,1.96,20
2023-04-06,19,26,1,259286.8,25995.31,-713.61,25281.7,285282.11,2.53,24
2023-04-13,28,18,0,151942.27,36264.74,-713.61,35551.13,188207.01,3.56,33
2023-04-21,18,19,9,288063.93,33332.45,-8568.12,24764.33,321396.38,2.48,31
2023-04-28,24,20,2,252038.83,54101.12,-9078.22,45022.9,306139.95,4.5,34
2023-05-05,31,13,2,251335.26,61457.69,-9691.7,51765.99,312792.95,5.18,35
2023-05-12,29,14,3,263074.72,63783.88,-7699.98,56083.9,326858.6,5.61,37
2023-05-19,15,23,8,400034.05,49092.56,285.29,49377.85,449126.61,4.94,32
2023-05-26,18,26,2,384011.14,60351.61,1618.64,61970.25,444362.75,6.2,33
2023-06-02,25,17,4,337550.26,62387.51,4320.94,66708.45,399937.77,6.67,34
2023-06-09,19,20,7,349632.16,51715.41,13188.23,64903.64,401347.57,6.49,32
2023-06-16,24,18,4,332391.97,63709.38,16979.61,80688.99,396101.35,8.07,33
2023-06-23,20,19,7,461181.24,39089.3,33518.9,72608.2,500270.54,7.26,27
2023-06-30,24,20,2,312488.18,58027.16,33518.9,91546.06,370515.34,9.15,34
2023-07-07,39,6,1,199543.7,68029.14,35261.2,103290.34,267572.84,10.33,40
2023-07-14,27,17,2,246892.62,77257.88,37136.7,114394.58,324150.5,11.44,38
2023-07-21,26,17,3,280688.04,81413.26,37795.66,119208.92,362101.3,11.92,37
2023-07-28,20,19,7,439806.51,68190.08,60382.57,128572.65,507996.59,12.86,30
2023-08-04,20,15,11,436199.61,60711.74,64318.83,125030.57,496911.35,12.5,28
2023-08-11,13,19,14,476021.96,59480.7,73068.4,132549.1,535502.66,13.25,26
2023-08-18,12,25,9,552165.03,49675.29,80957.67,130632.96,601840.32,13.06,24
2023-08-25,6,35,5,558982.36,44462.04,82636.91,127098.95,603444.4,12.71,23
2023-09-01,18,23,5,424162.54,54445.7,87124.85,141570.55,478608.24,14.16,27
2023-09-08,29,16,1,348557.05,78282.99,87124.85,165407.84,426840.04,16.54,31
2023-09-15,31,13,2,231913.6,89558.46,87124.85,176683.31,321472.06,17.67,38
2023-09-22,14,23,9,483544.55,67721.92,94062.14,161784.06,551266.47,16.18,27
2023-09-29,6,30,10,630438.55,58444.72,103218.65,161663.37,688883.27,16.17,22
2023-10-06,9,29,8,608226.78,40286.47,118356.76,158643.23,648513.25,15.86,21
2023-10-13,17,22,7,510135.97,49545.33,117964.66,167509.99,559681.3,16.75,24
2023-10-20,20,19,7,436018.5,48624.96,120856.97,169481.93,484643.46,16.95,26
