Ticker,Signal,Current_Price,Trend_Assessment,RSI,MACD,MA20,MA50,MA200,ATR,Buy_Range_Low,Buy_Range_High,Stop_Loss,Target,RR_Ratio,Risk_Context,Confidence,Rules_Passed,Rules_Failed
IFCI.NS,SELL,53.95,downtrend,27.1,-1.41,58.2,,56.84,2.33,,,58.61,42.31,2.5,LOW,81,0,3
FORCEMOT.NS,HOLD,21560.0,weak_trend,35.82,-85.77,23525.55,,18081.81,1339.43,,,19550.86,24238.86,1.33,ELEVATED,40,0,3
SBFC.NS,SELL,92.53,downtrend,41.68,-1.18,94.93,,106.04,3.0,,,98.53,77.53,2.5,LOW,74,0,3
HINDCOPPER.NS,HOLD,527.35,weak_trend,38.07,-7.82,565.16,,366.23,21.55,,,495.02,570.46,1.33,ELEVATED,40,0,3
BSE.NS,HOLD,2850.6,weak_trend,59.83,-4.78,2793.92,,2595.82,92.61,,,2711.68,3035.83,1.33,ELEVATED,40,2,1
PREMIERENE.NS,SELL,789.35,downtrend,59.43,-3.46,749.34,,952.59,32.9,,,855.14,624.87,2.5,ELEVATED,65,1,2
IREDA.NS,SELL,117.03,downtrend,34.98,-4.02,121.72,,146.8,4.1,,,125.23,96.54,2.5,LOW,77,0,3
HINDZINC.NS,HOLD,583.0,weak_trend,49.6,-9.51,594.91,,510.08,17.75,,,556.38,618.5,1.33,NORMAL,40,0,3
SARDAEN.NS,HOLD,550.6,weak_trend,62.78,11.79,526.35,,509.46,22.36,,,517.06,595.31,1.33,ELEVATED,40,2,1
ANANTRAJ.NS,SELL,469.6,downtrend,15.81,-18.75,519.76,,569.93,17.55,,,504.71,381.83,2.5,NORMAL,87,0,3
PFC.NS,HOLD,415.9,weak_trend,54.44,4.89,409.85,,387.42,14.89,,,393.57,445.68,1.33,NORMAL,40,1,2
SJVN.NS,SELL,72.35,downtrend,46.33,-0.92,73.26,,85.3,2.47,,,77.29,60.0,2.5,LOW,71,1,2
HOMEFIRST.NS,SELL,1002.6,downtrend,32.91,-31.21,1126.68,,1214.71,55.11,,,1112.81,727.06,2.5,ELEVATED,78,0,3
COALINDIA.NS,HOLD,470.1,weak_trend,76.41,8.79,430.85,,384.03,13.2,,,450.3,496.5,1.33,NORMAL,40,2,1
CHENNPETRO.NS,HOLD,943.8,weak_trend,56.95,17.91,924.52,,801.94,54.59,,,861.92,1052.97,1.33,ELEVATED,40,2,1
VTL.NS,HOLD,541.35,weak_trend,62.25,19.22,531.52,,451.26,21.43,,,509.21,584.21,1.33,ELEVATED,40,1,2
LINDEINDIA.NS,BUY,7189.5,uptrend,62.44,151.88,6754.02,,6378.89,244.04,7045.71,7333.29,6701.43,8409.68,2.5,ELEVATED,76,3,0
VEDL.NS,HOLD,719.6,weak_trend,63.87,13.21,702.51,,520.71,25.87,,,680.8,771.34,1.33,ELEVATED,40,1,2
ABLBL.NS,HOLD,101.1,weak_trend,39.58,-2.98,105.17,,0.0,3.85,,,95.32,108.8,1.33,LOW,40,0,3
INDUSINDBK.NS,SELL,831.35,downtrend,30.0,-10.02,922.29,,833.58,27.5,,,886.36,693.83,2.5,ELEVATED,80,1,2
MANAPPURAM.NS,SELL,255.55,downtrend,11.15,-11.42,286.97,,279.17,10.38,,,276.3,203.68,2.5,LOW,89,0,3
GODFRYPHLP.NS,SELL,2091.6,downtrend,23.99,-36.86,2141.99,,2835.3,103.59,,,2298.77,1573.67,2.5,ELEVATED,83,0,3
TATASTEEL.NS,HOLD,193.47,weak_trend,37.63,-0.44,204.19,,173.1,6.49,,,183.73,206.45,1.33,LOW,40,0,3
SAIL.NS,HOLD,153.65,weak_trend,47.0,-0.31,158.12,,136.6,6.41,,,144.03,166.48,1.33,LOW,40,0,3
IEX.NS,HOLD,122.76,weak_trend,47.29,-1.81,123.96,,148.09,3.43,,,117.62,129.62,1.33,LOW,40,0,3
ASIANPAINT.NS,SELL,2221.2,downtrend,25.62,-77.2,2350.84,,2516.67,61.59,,,2344.39,1913.24,2.5,ELEVATED,82,1,2
GMDCLTD.NS,HOLD,555.5,weak_trend,48.13,-7.72,557.91,,504.88,22.0,,,522.5,599.5,1.33,ELEVATED,40,0,3
MAHABANK.NS,HOLD,67.11,weak_trend,48.42,0.67,69.31,,58.2,3.32,,,62.13,73.76,1.33,LOW,40,0,3
MUTHOOTFIN.NS,HOLD,3244.0,weak_trend,40.06,-132.62,3426.31,,3176.78,114.14,,,3072.8,3472.27,1.33,ELEVATED,40,1,2
