ticker,entry_date,entry_price,exit_date,exit_price,qty,cost,proceeds,pnl
VBL.NS,2025-07-31,508.88,2025-09-30,443.7,4,2035.52,1774.8,-260.72
GAIL.NS,2025-10-31,178.82,2025-11-28,176.09,10,1788.1999999999998,1760.9,-27.299999999999727
NTPC.NS,2025-09-30,332.43,2025-11-28,326.45,7,2327.01,2285.15,-41.86000000000013
TATASTEEL.NS,2025-10-31,179.33,2025-11-28,167.96,10,1793.3000000000002,1679.6000000000001,-113.70000000000005
RELIANCE.NS,2025-10-31,1463.04,2026-01-12,1483.2,1,1463.04,1483.2,20.160000000000082
ITC.NS,2025-10-31,414.84,2026-01-12,338.4,4,1659.36,1353.6,-305.76
BPCL.NS,2025-12-31,376.33,2026-01-12,358.75,2,752.66,717.5,-35.15999999999997
DRREDDY.NS,2025-11-28,1240.19,2026-01-12,1215.5,1,1240.19,1215.5,-24.690000000000055
HDFCBANK.NS,2025-11-28,993.31,2026-01-12,936.95,1,993.31,936.95,-56.3599999999999
POLICYBZR.NS,2025-10-31,1729.39,2026-01-12,1675.5,1,1729.39,1675.5,-53.8900000000001
