NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-25 18:50:10

BUY SIGNALS (42):
  LEMONTREE.NS    | Price:  107.63 | Trend: -11.24% | Mom:   1.18% | Risk: LOW       
  ANGELONE.NS     | Price:  241.67 | Trend:  -1.85% | Mom:  10.59% | Risk: LOW       
  GLAND.NS        | Price: 1710.50 | Trend:  -2.34% | Mom:   2.61% | Risk: LOW       
  SCHAEFFLER.NS   | Price: 4063.10 | Trend:   3.87% | Mom:   0.31% | Risk: LOW       
  NETWEB.NS       | Price: 3251.20 | Trend:  -0.74% | Mom:  -0.84% | Risk: LOW       
  UNIONBANK.NS    | Price:  180.32 | Trend:  -0.84% | Mom:  -0.33% | Risk: LOW       
  OIL.NS          | Price:  471.40 | Trend:   0.59% | Mom:  -2.34% | Risk: LOW       
  KAYNES.NS       | Price: 3717.90 | Trend:   0.33% | Mom:  -0.22% | Risk: LOW       
  HUDCO.NS        | Price:  177.09 | Trend:  -6.90% | Mom:  -0.26% | Risk: LOW       
  GESHIP.NS       | Price: 1416.50 | Trend:   9.90% | Mom:  -0.74% | Risk: LOW       
  MMTC.NS         | Price:   57.02 | Trend:  -8.10% | Mom:   2.83% | Risk: LOW       
  ENGINERSIN.NS   | Price:  195.98 | Trend:   2.04% | Mom:  -1.53% | Risk: LOW       
  SYNGENE.NS      | Price:  418.75 | Trend:  -9.97% | Mom:   2.60% | Risk: LOW       
  SAGILITY.NS     | Price:   39.89 | Trend: -11.45% | Mom:   0.25% | Risk: LOW       
  AUBANK.NS       | Price:  910.40 | Trend:  -5.68% | Mom:  -0.87% | Risk: LOW       
  CEATLTD.NS      | Price: 3549.10 | Trend:  -3.93% | Mom:  -0.12% | Risk: LOW       
  GICRE.NS        | Price:  367.30 | Trend:  -1.82% | Mom:   0.31% | Risk: LOW       
  DALBHARAT.NS    | Price: 1884.00 | Trend:  -7.37% | Mom:   1.51% | Risk: LOW       
  COFORGE.NS      | Price: 1163.10 | Trend: -16.27% | Mom:   4.90% | Risk: LOW       
  NATIONALUM.NS   | Price:  367.30 | Trend:  -0.27% | Mom:  -7.66% | Risk: LOW       
  APLAPOLLO.NS    | Price: 1998.60 | Trend:  -4.19% | Mom:  -0.88% | Risk: LOW       
  BHARTIARTL.NS   | Price: 1834.90 | Trend:  -5.42% | Mom:   1.54% | Risk: LOW       
  KPRMILL.NS      | Price:  855.40 | Trend:  -2.89% | Mom:   5.49% | Risk: LOW       
  DMART.NS        | Price: 3910.80 | Trend:   2.18% | Mom:  -0.86% | Risk: LOW       
  KEC.NS          | Price:  549.85 | Trend:  -8.48% | Mom:   0.38% | Risk: LOW       
  CDSL.NS         | Price: 1212.80 | Trend:  -6.77% | Mom:  -0.54% | Risk: LOW       
  PNBHOUSING.NS   | Price:  802.85 | Trend:  -4.25% | Mom:   3.39% | Risk: LOW       
  SHREECEM.NS     | Price: 24230.00 | Trend:  -6.54% | Mom:   2.06% | Risk: LOW       
  ONGC.NS         | Price:  270.20 | Trend:   2.92% | Mom:  -0.20% | Risk: LOW       
  INDGN.NS        | Price:  460.25 | Trend:  -2.78% | Mom:   2.37% | Risk: LOW       
  AADHARHFC.NS    | Price:  471.30 | Trend:   0.28% | Mom:  -2.29% | Risk: LOW       
  RELIANCE.NS     | Price: 1413.10 | Trend:  -0.12% | Mom:   1.65% | Risk: LOW       
  BHARATFORG.NS   | Price: 1736.50 | Trend:   4.50% | Mom:  -3.37% | Risk: LOW       
  NTPC.NS         | Price:  378.40 | Trend:   3.58% | Mom:  -0.39% | Risk: LOW       
  DRREDDY.NS      | Price: 1300.70 | Trend:   3.29% | Mom:  -1.87% | Risk: LOW       
  NUVOCO.NS       | Price:  303.25 | Trend:  -7.48% | Mom:   1.88% | Risk: LOW       
  FLUOROCHEM.NS   | Price: 3256.60 | Trend:  -1.07% | Mom:   0.34% | Risk: LOW       
  JIOFIN.NS       | Price:  237.35 | Trend:  -7.10% | Mom:  -0.57% | Risk: LOW       
  SHYAMMETL.NS    | Price:  794.75 | Trend:  -4.12% | Mom:   1.17% | Risk: LOW       
  POWERGRID.NS    | Price:  295.00 | Trend:   3.44% | Mom:  -1.27% | Risk: LOW       
  SUNPHARMA.NS    | Price: 1795.40 | Trend:   4.54% | Mom:  -1.67% | Risk: LOW       
  GLENMARK.NS     | Price: 2168.50 | Trend:   5.52% | Mom:  -4.58% | Risk: LOW       
  HCLTECH.NS      | Price: 1381.30 | Trend:  -7.98% | Mom:   2.30% | Risk: LOW       
  UPL.NS          | Price:  625.25 | Trend:  -9.26% | Mom:  -0.10% | Risk: LOW       
  PAGEIND.NS      | Price: 32635.00 | Trend:  -0.35% | Mom:   3.29% | Risk: LOW       
  ETERNAL.NS      | Price:  242.18 | Trend:  -7.50% | Mom:   8.21% | Risk: LOW       
  SRF.NS          | Price: 2568.10 | Trend:  -5.46% | Mom:   3.19% | Risk: LOW       
  AKZOINDIA.NS    | Price: 2925.10 | Trend:  -0.50% | Mom:   1.54% | Risk: LOW       
  ZYDUSLIFE.NS    | Price:  903.70 | Trend:   0.55% | Mom:  -1.96% | Risk: LOW       
  SUZLON.NS       | Price:   42.27 | Trend:  -5.55% | Mom:   1.56% | Risk: LOW       
  LUPIN.NS        | Price: 2347.60 | Trend:   4.83% | Mom:   0.13% | Risk: LOW       
  JINDALSAW.NS    | Price:  188.54 | Trend:   3.29% | Mom:  -4.80% | Risk: LOW       
  TECHM.NS        | Price: 1408.50 | Trend:  -6.96% | Mom:   5.55% | Risk: LOW       
  DEEPAKFERT.NS   | Price:  999.05 | Trend:  -3.32% | Mom:   0.22% | Risk: LOW       
  MINDACORP.NS    | Price:  543.95 | Trend:  -0.89% | Mom:  10.06% | Risk: LOW       
  AKUMS.NS        | Price:  493.65 | Trend:   6.52% | Mom:  -2.68% | Risk: LOW       
  TIMKEN.NS       | Price: 3308.90 | Trend:   3.72% | Mom:  -2.97% | Risk: LOW       
  APOLLOHOSP.NS   | Price: 7580.50 | Trend:   2.82% | Mom:  -1.35% | Risk: LOW       
  SUPREMEIND.NS   | Price: 3832.00 | Trend:   1.84% | Mom:  -5.10% | Risk: LOW       
  RBLBANK.NS      | Price:  303.95 | Trend:  -0.94% | Mom:   2.10% | Risk: LOW       
  INTELLECT.NS    | Price:  657.10 | Trend: -12.82% | Mom:  -0.78% | Risk: LOW       
  HEXT.NS         | Price:  441.30 | Trend: -21.64% | Mom:   2.89% | Risk: LOW       
  HSCL.NS         | Price:  461.05 | Trend:   0.36% | Mom:   3.14% | Risk: LOW       
  OLAELEC.NS      | Price:   23.86 | Trend: -16.82% | Mom:  -0.25% | Risk: LOW       
  BIKAJI.NS       | Price:  628.20 | Trend:  -2.62% | Mom:   1.34% | Risk: LOW       
  KAJARIACER.NS   | Price:  946.65 | Trend:   0.11% | Mom:  -1.18% | Risk: LOW       
  FIVESTAR.NS     | Price:  382.60 | Trend: -11.85% | Mom:   0.53% | Risk: LOW       
  J&KBANK.NS      | Price:  118.07 | Trend:   7.33% | Mom:  -5.85% | Risk: LOW       
  ADANIGREEN.NS   | Price:  853.80 | Trend:  -6.05% | Mom:   0.49% | Risk: LOW       
  TECHNOE.NS      | Price: 1081.30 | Trend:   2.08% | Mom:  -2.21% | Risk: LOW       
  ABSLAMC.NS      | Price:  939.80 | Trend:   8.07% | Mom:  -6.95% | Risk: LOW       
  NUVAMA.NS       | Price: 1201.00 | Trend:  -6.73% | Mom:  -0.95% | Risk: LOW       
  FACT.NS         | Price:  790.25 | Trend:   0.07% | Mom: -10.70% | Risk: LOW       
  LTFOODS.NS      | Price:  384.05 | Trend:  -1.16% | Mom:   0.34% | Risk: LOW       
  CARBORUNIV.NS   | Price:  788.00 | Trend:  -1.90% | Mom:   0.11% | Risk: LOW       
  NAUKRI.NS       | Price:  998.00 | Trend: -10.99% | Mom:   4.34% | Risk: LOW       
  AEGISLOG.NS     | Price:  611.75 | Trend:  -9.30% | Mom:  -0.78% | Risk: LOW       
  INOXWIND.NS     | Price:   81.92 | Trend: -15.72% | Mom:  -0.41% | Risk: LOW       
  PHOENIXLTD.NS   | Price: 1572.00 | Trend:  -7.05% | Mom:  -0.23% | Risk: LOW       
  EIDPARRY.NS     | Price:  808.30 | Trend:  -7.39% | Mom:  -0.22% | Risk: LOW       
  ITI.NS          | Price:  260.60 | Trend:  -6.43% | Mom:   2.84% | Risk: LOW       
  AJANTPHARM.NS   | Price: 2879.90 | Trend:   0.03% | Mom:  -5.52% | Risk: LOW       
  ADANIENSOL.NS   | Price:  990.40 | Trend:   1.75% | Mom:  -0.16% | Risk: LOW       
  INDIANB.NS      | Price:  909.05 | Trend:   1.08% | Mom:  -0.95% | Risk: LOW       
  RPOWER.NS       | Price:   22.67 | Trend: -13.77% | Mom:  -0.83% | Risk: LOW       
  TORNTPHARM.NS   | Price: 4297.50 | Trend:   3.30% | Mom:  -3.02% | Risk: LOW       
  VMM.NS          | Price:  107.81 | Trend:  -8.61% | Mom:  -0.19% | Risk: LOW       
  SONACOMS.NS     | Price:  511.45 | Trend:   1.39% | Mom:  -0.95% | Risk: LOW       
  ALKYLAMINE.NS   | Price: 1378.30 | Trend:  -6.97% | Mom:   4.31% | Risk: LOW       
  DATAPATTNS.NS   | Price: 3213.30 | Trend:  10.96% | Mom:  -5.02% | Risk: LOW       
  ASTRAL.NS       | Price: 1646.60 | Trend:   5.07% | Mom:  -5.71% | Risk: LOW       
  SCHNEIDER.NS    | Price:  893.50 | Trend:  12.04% | Mom:  -1.65% | Risk: LOW       
  ABB.NS          | Price: 6212.50 | Trend:   8.49% | Mom:  -1.07% | Risk: LOW       
  PFIZER.NS       | Price: 4709.50 | Trend:  -2.16% | Mom:   0.11% | Risk: LOW       
  CESC.NS         | Price:  152.26 | Trend:  -0.35% | Mom:  -1.32% | Risk: LOW       
  AARTIIND.NS     | Price:  431.25 | Trend:   3.67% | Mom:   0.26% | Risk: LOW       
  ERIS.NS         | Price: 1336.10 | Trend:  -2.92% | Mom:  -0.98% | Risk: LOW       
  FEDERALBNK.NS   | Price:  270.95 | Trend:  -3.08% | Mom:   0.56% | Risk: LOW       
  DOMS.NS         | Price: 2337.60 | Trend:   0.43% | Mom:  11.44% | Risk: LOW       
  LTTS.NS         | Price: 3200.40 | Trend: -10.22% | Mom:   3.33% | Risk: LOW       
  KFINTECH.NS     | Price:  934.45 | Trend:  -4.68% | Mom:   0.82% | Risk: LOW       
  BAYERCROP.NS    | Price: 4501.40 | Trend:  -1.11% | Mom:  -0.42% | Risk: LOW       
  ENRIN.NS        | Price: 2771.40 | Trend:   3.97% | Mom:  -5.82% | Risk: LOW       
  POLICYBZR.NS    | Price: 1468.30 | Trend:  -4.32% | Mom:   0.35% | Risk: LOW       
  KALYANKJIL.NS   | Price:  391.85 | Trend:  -2.79% | Mom:   0.35% | Risk: LOW       
  SAMMAANCAP.NS   | Price:  146.88 | Trend:   1.53% | Mom:   0.80% | Risk: LOW       
  USHAMART.NS     | Price:  414.00 | Trend:  -0.18% | Mom:  -2.61% | Risk: LOW       
  INFY.NS         | Price: 1279.10 | Trend: -10.59% | Mom:   0.22% | Risk: LOW       
  COROMANDEL.NS   | Price: 2015.40 | Trend:  -7.94% | Mom:  -0.26% | Risk: LOW       
  STARHEALTH.NS   | Price:  459.15 | Trend:   0.49% | Mom:   0.71% | Risk: LOW       
  ELGIEQUIP.NS    | Price:  487.35 | Trend:   0.82% | Mom:  -2.74% | Risk: LOW       
  JMFINANCIL.NS   | Price:  124.54 | Trend:  -3.48% | Mom:   2.34% | Risk: LOW       
  CGCL.NS         | Price:  170.01 | Trend:  -0.41% | Mom:   0.45% | Risk: LOW       
  JBCHEPHARM.NS   | Price: 2085.30 | Trend:   5.37% | Mom:  -1.92% | Risk: LOW       
  CERA.NS         | Price: 4728.30 | Trend:  -4.38% | Mom:   1.64% | Risk: LOW       
  PERSISTENT.NS   | Price: 4928.80 | Trend:  -9.05% | Mom:   3.81% | Risk: LOW       
  WELCORP.NS      | Price:  835.55 | Trend:   5.46% | Mom:   0.37% | Risk: LOW       
  AWL.NS          | Price:  182.85 | Trend:  -7.31% | Mom:   1.92% | Risk: LOW       
  JSWINFRA.NS     | Price:  258.20 | Trend:  -0.40% | Mom:  -0.52% | Risk: LOW       
  PAYTM.NS        | Price: 1065.90 | Trend:  -6.39% | Mom:   3.92% | Risk: LOW       
  CGPOWER.NS      | Price:  692.25 | Trend:   4.37% | Mom:  -4.69% | Risk: LOW       
  NIVABUPA.NS     | Price:   71.39 | Trend:  -5.14% | Mom:  -0.18% | Risk: LOW       
  HAPPSTMNDS.NS   | Price:  398.10 | Trend:   2.01% | Mom:  -3.30% | Risk: LOW       
  BLS.NS          | Price:  264.35 | Trend:  -2.15% | Mom:   6.10% | Risk: LOW       
  CHOICEIN.NS     | Price:  652.95 | Trend: -10.94% | Mom:   0.47% | Risk: LOW       
  ZENTEC.NS       | Price: 1394.80 | Trend:   3.14% | Mom:  -0.98% | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1499.70 | Trend:  -1.06% | Mom:   0.73% | Risk: LOW       
  FSL.NS          | Price:  224.36 | Trend: -13.42% | Mom:   2.92% | Risk: LOW       
  AFCONS.NS       | Price:  282.65 | Trend: -10.44% | Mom:   0.84% | Risk: LOW       
  FINCABLES.NS    | Price:  832.15 | Trend:   2.21% | Mom:  -6.27% | Risk: LOW       
  JUBLINGREA.NS   | Price:  583.85 | Trend:  -4.99% | Mom:   2.34% | Risk: LOW       
  UBL.NS          | Price: 1606.40 | Trend:   2.39% | Mom:  -2.84% | Risk: LOW       
  NAVA.NS         | Price:  572.20 | Trend:   1.89% | Mom:   0.86% | Risk: LOW       
  JUBLPHARMA.NS   | Price:  859.70 | Trend:  -5.34% | Mom:   6.44% | Risk: LOW       
  NAM-INDIA.NS    | Price:  869.60 | Trend:  -2.06% | Mom:   1.43% | Risk: LOW       
  TARIL.NS        | Price:  282.90 | Trend:   3.38% | Mom:  -2.25% | Risk: LOW       
  HBLENGINE.NS    | Price:  666.60 | Trend:  -7.83% | Mom:  -0.60% | Risk: LOW       
  CENTURYPLY.NS   | Price:  702.00 | Trend:  -4.84% | Mom:   1.70% | Risk: LOW       
  JKCEMENT.NS     | Price: 5262.00 | Trend:  -4.88% | Mom:   2.15% | Risk: LOW       
  TRIDENT.NS      | Price:   24.72 | Trend:  -2.74% | Mom:   7.01% | Risk: LOW       
  BIOCON.NS       | Price:  379.65 | Trend:   0.37% | Mom:  -3.97% | Risk: LOW       
  ASTERDM.NS      | Price:  652.00 | Trend:   6.37% | Mom:  -4.94% | Risk: LOW       
  AUROPHARMA.NS   | Price: 1307.80 | Trend:   8.67% | Mom:   0.23% | Risk: LOW       
  KIRLOSENG.NS    | Price: 1392.40 | Trend:   6.52% | Mom:  -4.00% | Risk: LOW       
  HFCL.NS         | Price:   70.93 | Trend:   3.17% | Mom:  -1.57% | Risk: LOW       
  CHAMBLFERT.NS   | Price:  432.35 | Trend:  -1.52% | Mom:   0.14% | Risk: LOW       
  BALRAMCHIN.NS   | Price:  508.50 | Trend:  11.48% | Mom:  -2.03% | Risk: LOW       
