NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-01 20:19:45

BUY SIGNALS (941):
  JSWINFRA.NS     | Price:  275.30 | Entry:  269.79 | Target:  316.87 | Risk: LOW       
  SCHAEFFLER.NS   | Price: 4128.70 | Entry: 4046.13 | Target: 4705.66 | Risk: LOW       
  INDUSINDBK.NS   | Price:  914.35 | Entry:  896.06 | Target: 1014.65 | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1707.10 | Entry: 1672.96 | Target: 1959.33 | Risk: LOW       
  BHARATFORG.NS   | Price: 1957.20 | Entry: 1918.06 | Target: 2199.91 | Risk: LOW       
  COFORGE.NS      | Price: 1421.80 | Entry: 1393.36 | Target: 1668.51 | Risk: LOW       
  TIINDIA.NS      | Price: 3141.40 | Entry: 3078.57 | Target: 3749.04 | Risk: LOW       
  UPL.NS          | Price:  644.80 | Entry:   631.9 | Target:  739.89 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   71.32 | Entry:   69.89 | Target:   78.81 | Risk: LOW       
  MOTILALOFS.NS   | Price:  879.50 | Entry:  861.91 | Target:  998.66 | Risk: LOW       
  MFSL.NS         | Price: 1674.00 | Entry: 1640.52 | Target: 1921.04 | Risk: LOW       
  SAIL.NS         | Price:  204.37 | Entry:  200.28 | Target:  243.31 | Risk: LOW       
  FEDERALBNK.NS   | Price:  288.95 | Entry:  283.17 | Target:  321.25 | Risk: LOW       
  MPHASIS.NS      | Price: 2271.40 | Entry: 2225.97 | Target: 2608.79 | Risk: LOW       
  BIOCON.NS       | Price:  428.65 | Entry:  420.08 | Target:  490.54 | Risk: LOW       
  TATACOMM.NS     | Price: 1965.00 | Entry:  1925.7 | Target: 2415.86 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1362.00 | Entry: 1334.76 | Target: 1519.21 | Risk: LOW       
  PAGEIND.NS      | Price: 38195.00 | Entry: 37431.1 | Target: 44358.63 | Risk: LOW       
  PREMIERENE.NS   | Price: 1061.00 | Entry: 1039.78 | Target: 1227.00 | Risk: LOW       
  HEXT.NS         | Price:  508.00 | Entry:  497.84 | Target:  599.73 | Risk: LOW       
  MAHABANK.NS     | Price:   79.27 | Entry:   77.68 | Target:   88.69 | Risk: LOW       
  IREDA.NS        | Price:  133.25 | Entry:  130.59 | Target:  150.88 | Risk: LOW       
  NATIONALUM.NS   | Price:  424.45 | Entry:  415.96 | Target:  487.45 | Risk: LOW       
  RADICO.NS       | Price: 3518.60 | Entry: 3448.23 | Target: 4047.39 | Risk: LOW       
  ENDURANCE.NS    | Price: 2722.60 | Entry: 2668.15 | Target: 3224.28 | Risk: LOW       
  KEI.NS          | Price: 5267.50 | Entry: 5162.15 | Target: 6091.11 | Risk: LOW       
  ASTRAL.NS       | Price: 1578.20 | Entry: 1546.64 | Target: 1830.34 | Risk: LOW       
  THERMAX.NS      | Price: 4982.70 | Entry: 4883.05 | Target: 6004.70 | Risk: LOW       
  NH.NS           | Price: 1894.00 | Entry: 1856.12 | Target: 2179.04 | Risk: LOW       
  TATAINVEST.NS   | Price:  690.15 | Entry:  676.35 | Target:  779.02 | Risk: LOW       
  KPRMILL.NS      | Price:  966.50 | Entry:  947.17 | Target: 1126.02 | Risk: LOW       
  3MINDIA.NS      | Price: 32810.00 | Entry: 32153.8 | Target: 38067.14 | Risk: LOW       
  APARINDS.NS     | Price: 13118.00 | Entry: 12855.64 | Target: 15751.21 | Risk: LOW       
  ACC.NS          | Price: 1399.30 | Entry: 1371.31 | Target: 1534.69 | Risk: LOW       
  TATAELXSI.NS    | Price: 4285.40 | Entry: 4199.69 | Target: 4770.76 | Risk: LOW       
  KPITTECH.NS     | Price:  771.95 | Entry:  756.51 | Target:  890.97 | Risk: LOW       
  EXIDEIND.NS     | Price:  386.50 | Entry:  378.77 | Target:  439.64 | Risk: LOW       
  HONAUT.NS       | Price: 35520.00 | Entry: 34809.6 | Target: 42846.79 | Risk: LOW       
  AIAENG.NS       | Price: 4503.60 | Entry: 4413.53 | Target: 5263.35 | Risk: LOW       
  COHANCE.NS      | Price:  431.50 | Entry:  422.87 | Target:  544.88 | Risk: LOW       
  GILLETTE.NS     | Price: 8016.50 | Entry: 7856.17 | Target: 9016.50 | Risk: LOW       
  GLAND.NS        | Price: 2250.00 | Entry:  2205.0 | Target: 2753.64 | Risk: LOW       
  NBCC.NS         | Price:  100.26 | Entry:   98.25 | Target:  115.68 | Risk: LOW       
  ITI.NS          | Price:  300.40 | Entry:  294.39 | Target:  344.47 | Risk: LOW       
  GUJGASLTD.NS    | Price:  401.15 | Entry:  393.13 | Target:  464.52 | Risk: LOW       
