NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-16 18:59:16

BUY SIGNALS (820):
  LAURUSLABS.NS   | Price: 1323.60 | Entry: 1297.13 | Target: 1504.61 | Risk: LOW       
  AIIL.NS         | Price:  505.50 | Entry:  495.39 | Target:  608.14 | Risk: LOW       
  GODFRYPHLP.NS   | Price: 2424.90 | Entry:  2376.4 | Target: 2867.76 | Risk: LOW       
  JKCEMENT.NS     | Price: 5464.00 | Entry: 5354.72 | Target: 6281.14 | Risk: LOW       
  GLAXO.NS        | Price: 2438.80 | Entry: 2390.02 | Target: 2759.51 | Risk: LOW       
  HEXT.NS         | Price:  484.15 | Entry:  474.47 | Target:  563.52 | Risk: LOW       
  360ONE.NS       | Price: 1093.80 | Entry: 1071.92 | Target: 1242.26 | Risk: LOW       
  ANTHEM.NS       | Price:  783.30 | Entry:  767.63 | Target:  888.75 | Risk: LOW       
  CONCOR.NS       | Price:  518.80 | Entry:  508.42 | Target:  568.50 | Risk: LOW       
  M&MFIN.NS       | Price:  320.65 | Entry:  314.24 | Target:  378.40 | Risk: LOW       
  NATIONALUM.NS   | Price:  403.60 | Entry:  395.53 | Target:  472.92 | Risk: LOW       
  RADICO.NS       | Price: 3499.20 | Entry: 3429.22 | Target: 4005.38 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 3713.50 | Entry: 3639.23 | Target: 4307.79 | Risk: LOW       
  ENDURANCE.NS    | Price: 2548.50 | Entry: 2497.53 | Target: 3056.43 | Risk: LOW       
  KEI.NS          | Price: 5117.50 | Entry: 5015.15 | Target: 6122.18 | Risk: LOW       
  THERMAX.NS      | Price: 4500.40 | Entry: 4410.39 | Target: 5466.47 | Risk: LOW       
  PWL.NS          | Price:  113.85 | Entry:  111.57 | Target:  136.42 | Risk: LOW       
  NH.NS           | Price: 1841.10 | Entry: 1804.28 | Target: 2100.35 | Risk: LOW       
  GODREJIND.NS    | Price: 1135.05 | Entry: 1112.35 | Target: 1460.23 | Risk: LOW       
  CHOLAHLDNG.NS   | Price: 1658.00 | Entry: 1624.84 | Target: 1972.32 | Risk: LOW       
  IPCALAB.NS      | Price: 1605.00 | Entry:  1572.9 | Target: 1842.71 | Risk: LOW       
  APARINDS.NS     | Price: 12650.00 | Entry: 12397.0 | Target: 14849.82 | Risk: LOW       
  MEDANTA.NS      | Price: 1242.50 | Entry: 1217.65 | Target: 1476.70 | Risk: LOW       
  NLCINDIA.NS     | Price:  352.80 | Entry:  345.74 | Target:  438.73 | Risk: LOW       
