NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-15 18:49:47

BUY SIGNALS (33):
  POWERGRID.NS    | Price:  301.00 | Trend:   7.74% | Mom:  -0.74% | Risk: LOW       
  SUNPHARMA.NS    | Price: 1802.00 | Trend:   5.32% | Mom:   0.91% | Risk: LOW       
  ZYDUSLIFE.NS    | Price:  903.95 | Trend:   0.10% | Mom:  -3.68% | Risk: LOW       
  LUPIN.NS        | Price: 2301.10 | Trend:   3.91% | Mom:  -0.95% | Risk: LOW       
  AKUMS.NS        | Price:  470.90 | Trend:   2.53% | Mom:  -2.35% | Risk: LOW       
  APOLLOHOSP.NS   | Price: 7545.00 | Trend:   2.69% | Mom:  -2.96% | Risk: LOW       
  SUPREMEIND.NS   | Price: 3877.30 | Trend:   4.38% | Mom:  -3.25% | Risk: LOW       
  CCL.NS          | Price: 1023.50 | Trend:   4.01% | Mom:  -0.99% | Risk: LOW       
  VGUARD.NS       | Price:  320.10 | Trend:  -0.51% | Mom:   1.14% | Risk: LOW       
  BANDHANBNK.NS   | Price:  175.80 | Trend:   9.29% | Mom:  -5.53% | Risk: LOW       
  EIHOTEL.NS      | Price:  321.00 | Trend:  -3.49% | Mom:  -0.11% | Risk: LOW       
  J&KBANK.NS      | Price:  120.60 | Trend:  12.24% | Mom:  -0.52% | Risk: LOW       
  TECHNOE.NS      | Price: 1089.60 | Trend:   3.20% | Mom:  -7.54% | Risk: LOW       
  BEL.NS          | Price:  439.00 | Trend:   1.74% | Mom:  -1.82% | Risk: LOW       
  KSB.NS          | Price:  754.05 | Trend:   3.33% | Mom:  -3.74% | Risk: LOW       
  FINPIPE.NS      | Price:  185.00 | Trend:   2.59% | Mom:  -0.06% | Risk: LOW       
  ADANIENSOL.NS   | Price:  993.80 | Trend:   1.56% | Mom:  -2.94% | Risk: LOW       
  TORNTPHARM.NS   | Price: 4410.00 | Trend:   7.42% | Mom:   0.23% | Risk: LOW       
  DATAPATTNS.NS   | Price: 3205.00 | Trend:  14.17% | Mom:  -1.19% | Risk: LOW       
  ASTRAL.NS       | Price: 1610.00 | Trend:   4.43% | Mom:  -4.41% | Risk: LOW       
  DIXON.NS        | Price: 10329.00 | Trend:  -6.19% | Mom:   2.11% | Risk: LOW       
  SCHNEIDER.NS    | Price:  875.90 | Trend:  14.50% | Mom:  -2.48% | Risk: LOW       
  CASTROLIND.NS   | Price:  186.24 | Trend:  -0.26% | Mom:  -0.75% | Risk: LOW       
  CESC.NS         | Price:  159.75 | Trend:   2.84% | Mom:  -0.02% | Risk: LOW       
  AARTIIND.NS     | Price:  420.00 | Trend:   3.01% | Mom:  -7.83% | Risk: LOW       
  INOXINDIA.NS    | Price: 1150.00 | Trend:   1.03% | Mom:   0.03% | Risk: LOW       
  IRB.NS          | Price:   41.56 | Trend:   0.01% | Mom:  -0.02% | Risk: LOW       
  LTTS.NS         | Price: 3470.00 | Trend:  -7.35% | Mom:   4.60% | Risk: LOW       
  ENRIN.NS        | Price: 2786.00 | Trend:   5.93% | Mom:  -4.60% | Risk: LOW       
  GODIGIT.NS      | Price:  332.95 | Trend:   0.65% | Mom:  -3.07% | Risk: LOW       
