Ticker,Signal,Current_Price,Trend_Percent,Momentum_Percent,Volatility_Percent,Buy_Range_Low,Buy_Range_High,Stop_Loss,Target,RR_Ratio,Risk_Context,Confidence
IFCI.NS,BUY,62.29,14.09,10.95,3.21,61.04,63.54,56.19,77.54,2.5,LOW,100
FORCEMOT.NS,BUY,24586.0,24.22,28.01,3.77,24094.28,25077.72,22293.71,30316.71,2.5,LOW,100
SBFC.NS,HOLD,95.48,-4.92,10.93,3.54,,,89.73,103.15,1.33,LOW,100
HINDCOPPER.NS,HOLD,574.4,11.14,-5.77,7.02,,,498.99,674.95,1.33,LOW,100
BSE.NS,BUY,2804.6,1.35,3.81,3.34,2748.51,2860.69,2535.29,3477.89,2.5,LOW,100
PREMIERENE.NS,HOLD,762.95,-4.95,3.92,3.28,,,718.07,822.79,1.33,LOW,100
IREDA.NS,HOLD,127.07,-5.37,-0.29,2.02,,,120.94,135.24,1.33,LOW,80
HINDZINC.NS,SELL,594.1,-3.61,-2.62,4.1,,,657.76,434.96,2.5,LOW,100
SARDAEN.NS,BUY,504.65,0.97,3.59,2.03,494.56,514.74,466.38,600.33,2.5,LOW,80
ANANTRAJ.NS,HOLD,543.65,0.05,-2.61,3.58,,,506.92,592.62,1.33,LOW,80
PFC.NS,BUY,411.8,11.37,6.78,2.39,403.56,420.04,381.47,487.62,2.5,LOW,100
SJVN.NS,BUY,77.81,3.73,10.18,2.61,76.25,79.37,72.06,92.18,2.5,LOW,100
HOMEFIRST.NS,BUY,1169.1,3.48,3.42,3.88,1145.72,1192.48,1072.3,1411.1,2.5,LOW,100
COALINDIA.NS,HOLD,422.5,2.23,-0.24,2.32,,,401.51,450.49,1.33,LOW,80
CHENNPETRO.NS,BUY,888.95,2.63,2.83,2.36,871.17,906.73,819.76,1061.93,2.5,LOW,100
VTL.NS,BUY,508.3,14.6,11.16,3.97,498.13,518.47,448.84,656.96,2.5,LOW,100
LINDEINDIA.NS,BUY,6768.0,12.27,14.12,2.41,6632.64,6903.36,6320.0,7888.0,2.5,LOW,100
VEDL.NS,BUY,679.8,7.84,2.9,3.57,666.2,693.4,614.48,843.1,2.5,LOW,100
ABLBL.NS,HOLD,110.96,-6.27,6.03,2.89,,,103.99,120.25,1.33,LOW,100
INDUSINDBK.NS,BUY,931.9,4.85,2.38,1.43,913.26,950.54,885.56,1047.74,2.5,LOW,100
MANAPPURAM.NS,BUY,303.75,1.96,8.9,2.13,297.68,309.82,278.07,367.96,2.5,LOW,100
GODFRYPHLP.NS,HOLD,2014.6,-14.71,5.1,3.45,,,1881.37,2192.24,1.33,LOW,100
TATASTEEL.NS,BUY,205.81,12.08,9.18,2.21,201.69,209.93,191.8,240.83,2.5,LOW,100
SAIL.NS,BUY,159.58,9.83,7.34,2.13,156.39,162.77,148.52,187.24,2.5,LOW,100
IEX.NS,HOLD,124.97,-6.52,3.14,2.25,,,119.11,132.78,1.33,LOW,100
ASIANPAINT.NS,HOLD,2397.2,-10.65,-0.2,1.72,,,2300.85,2525.67,1.33,LOW,80
GMDCLTD.NS,HOLD,563.8,0.45,-2.2,3.88,,,516.45,626.93,1.33,LOW,80
MAHABANK.NS,BUY,65.52,6.25,6.8,2.08,64.21,66.83,61.17,76.39,2.5,LOW,100
MUTHOOTFIN.NS,SELL,3498.2,-8.47,-1.04,4.17,,,3928.91,2421.41,2.5,LOW,80
JSWSTEEL.NS,BUY,1248.2,6.87,4.09,1.54,1223.24,1273.16,1196.41,1377.66,2.5,LOW,100
BALKRISIND.NS,BUY,2575.7,6.36,12.29,3.09,2524.19,2627.21,2314.45,3228.81,2.5,LOW,100
BLUEJET.NS,SELL,357.6,-26.59,-12.13,4.0,,,403.91,241.83,2.5,LOW,100
HINDALCO.NS,HOLD,907.45,-0.27,-2.48,2.62,,,852.75,980.38,1.33,LOW,80
MCX.NS,HOLD,2339.7,3.1,0.77,4.2,,,2108.17,2648.4,1.33,LOW,80
EMAMILTD.NS,HOLD,488.1,-3.5,2.38,1.4,,,465.85,517.76,1.33,LOW,100
COLPAL.NS,HOLD,2118.6,-0.06,-0.41,1.47,,,2046.72,2214.44,1.33,LOW,60
3MINDIA.NS,BUY,36095.0,3.0,4.65,2.44,35373.1,36816.9,33062.14,43677.14,2.5,LOW,100
TORNTPOWER.NS,BUY,1471.4,10.86,11.81,2.42,1441.97,1500.83,1368.72,1728.09,2.5,LOW,100
TRENT.NS,BUY,4229.5,4.17,13.67,1.9,4144.91,4314.09,3965.06,4890.61,2.5,LOW,100
DEVYANI.NS,HOLD,129.02,-2.28,11.18,3.2,,,120.45,140.44,1.33,LOW,100
BRIGADE.NS,HOLD,747.8,-10.14,1.22,2.79,,,703.46,806.92,1.33,LOW,80
RECLTD.NS,SELL,353.5,-0.77,-1.46,2.01,,,377.26,294.1,2.5,LOW,60
NAVINFLUOR.NS,BUY,6248.5,4.0,5.89,2.65,6123.53,6373.47,5695.07,7632.07,2.5,LOW,100
ATUL.NS,BUY,6547.5,7.48,9.8,2.46,6416.55,6678.45,6010.57,7889.82,2.5,LOW,100
MRPL.NS,BUY,186.0,17.29,4.81,3.45,182.28,189.72,166.84,233.91,2.5,LOW,100
NLCINDIA.NS,BUY,256.85,2.56,3.55,2.52,251.71,261.99,235.07,311.3,2.5,LOW,100
NMDC.NS,BUY,80.46,2.32,1.8,2.47,78.85,82.07,74.73,94.79,2.5,LOW,80
JWL.NS,SELL,290.75,-4.4,-5.6,2.38,,,314.46,231.48,2.5,LOW,100
JYOTICNC.NS,HOLD,829.95,-8.3,8.3,3.88,,,763.97,917.93,1.33,LOW,100
WAAREEENER.NS,BUY,3116.4,9.06,11.5,3.5,3054.07,3178.73,2901.91,3652.61,2.5,LOW,100
JSWCEMENT.NS,HOLD,119.03,0.41,4.22,2.32,,,112.76,127.39,1.33,LOW,80
LEMONTREE.NS,SELL,125.87,-13.81,-1.7,2.41,,,134.83,103.47,2.5,LOW,80
