date,buy_signals,hold_signals,sell_signals,capital,unrealized_pnl,realized_pnl,total_pnl,total_value,return_percent,positions_count
2023-03-17,10,20,16,507176.52,10859.96,0.0,10859.96,518036.48,1.09,10
2023-03-24,7,24,15,336304.74,4100.65,0.0,4100.65,340405.39,0.41,13
2023-03-31,14,23,9,128324.93,8732.53,-730.26,8002.27,137057.46,0.8,20
2023-04-06,19,26,1,19208.73,4947.32,-1162.76,3784.56,24156.05,0.38,24
2023-04-13,28,18,0,8475.09,2342.11,-1162.76,1179.35,10817.2,0.12,27
2023-04-21,18,19,9,24650.3,2577.2,-7954.81,-5377.61,27227.5,-0.54,27
2023-04-28,24,20,2,12098.87,4190.15,-7954.81,-3764.66,16289.02,-0.38,31
2023-05-05,31,13,2,8588.42,4465.2,-8128.27,-3663.07,13053.62,-0.37,32
2023-05-12,29,14,3,7954.94,5534.6,-8201.54,-2666.94,13489.54,-0.27,31
2023-05-19,15,23,8,15355.05,4022.22,-8436.04,-4413.82,19377.27,-0.44,28
2023-05-26,18,26,2,11274.7,5475.13,-8436.04,-2960.91,16749.83,-0.3,28
2023-06-02,25,17,4,10290.49,6600.79,-8478.94,-1878.15,16891.28,-0.19,26
2023-06-09,19,20,7,12859.16,6277.11,-8467.75,-2190.64,19136.27,-0.22,27
2023-06-16,24,18,4,9943.64,7783.08,-8493.22,-710.14,17726.72,-0.07,26
2023-06-23,20,19,7,10583.95,6577.78,-8576.98,-1999.2,17161.73,-0.2,23
2023-06-30,24,20,2,9552.56,8587.08,-8576.98,10.1,18139.64,0.0,23
2023-07-07,39,6,1,6947.16,9171.46,-8467.5,703.96,16118.62,0.07,28
2023-07-14,27,17,2,5632.08,9394.44,-8492.3,902.14,15026.52,0.09,27
2023-07-21,26,17,3,4495.03,9449.37,-8495.64,953.73,13944.4,0.1,26
2023-07-28,20,19,7,4334.04,10933.63,-8462.84,2470.79,15267.67,0.25,26
2023-08-04,20,15,11,8521.09,8262.28,-7153.74,1108.54,16783.37,0.11,21
2023-08-11,13,19,14,14363.34,5902.06,-5370.63,531.43,20265.4,0.05,24
2023-08-18,12,25,9,12995.03,5534.7,-5325.87,208.83,18529.73,0.02,23
2023-08-25,6,35,5,16050.91,4275.3,-4367.13,-91.83,20326.21,-0.01,22
2023-09-01,18,23,5,13882.49,3294.32,-3330.42,-36.1,17176.81,-0.0,21
2023-09-08,29,16,1,8748.45,3935.58,-3330.42,605.16,12684.03,0.06,21
2023-09-15,31,13,2,7179.39,4435.66,-3330.42,1105.24,11615.05,0.11,21
2023-09-22,14,23,9,9616.17,3951.56,-3391.64,559.92,13567.73,0.06,18
2023-09-29,6,30,10,8834.33,3992.49,-3440.09,552.4,12826.82,0.06,16
2023-10-06,9,29,8,9186.41,3722.8,-3437.6,285.2,12909.21,0.03,15
2023-10-13,17,22,7,9777.5,4247.61,-3449.47,798.14,14025.11,0.08,12
2023-10-20,20,19,7,8661.5,4330.31,-3380.6,949.71,12991.81,0.09,11
2023-10-27,5,13,28,17016.68,2916.09,-2520.69,395.4,19932.77,0.04,7
2023-11-03,6,23,17,13906.87,3111.75,-2520.69,591.06,17018.62,0.06,9
2023-11-10,20,25,1,9719.47,3153.16,-2520.69,632.47,12872.63,0.06,10
2023-11-17,33,10,3,7426.95,3502.67,-2577.99,924.68,10929.62,0.09,9
2023-11-24,26,18,2,6003.49,3637.86,-2577.99,1059.87,9641.35,0.11,10
2023-12-01,36,10,0,4159.37,4080.36,-2577.99,1502.37,8239.73,0.15,12
2023-12-08,41,5,0,3337.23,4213.82,-2577.99,1635.83,7551.05,0.16,12
2023-12-15,30,15,1,3077.83,4827.28,-2577.99,2249.29,7905.11,0.22,12
2023-12-22,28,17,1,2817.28,4961.77,-2577.99,2383.78,7779.05,0.24,12
2023-12-29,29,17,0,2686.67,5601.82,-2577.99,3023.83,8288.49,0.3,12
2024-01-05,29,16,1,2686.67,5538.51,-2577.99,2960.52,8225.18,0.3,12
2024-01-12,17,27,2,2929.52,5312.06,-2585.38,2726.68,8241.58,0.27,11
2024-01-19,25,13,8,2804.16,5577.16,-2585.38,2991.78,8381.32,0.3,11
