NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-10 19:33:43

BUY SIGNALS (696):
  BANDHANBNK.NS   | Price:  206.94 | Entry:   202.8 | Target:  234.03 | Risk: LOW       
  EMCURE.NS       | Price: 1744.60 | Entry: 1709.71 | Target: 2002.24 | Risk: LOW       
  AMBER.NS        | Price: 7726.00 | Entry: 7571.48 | Target: 8975.64 | Risk: LOW       
  NUVAMA.NS       | Price: 1556.80 | Entry: 1525.66 | Target: 1764.98 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 1887.60 | Entry: 1849.85 | Target: 2590.99 | Risk: LOW       
  PTCIL.NS        | Price: 18692.00 | Entry: 18318.16 | Target: 22657.00 | Risk: LOW       
  KIOCL.NS        | Price:  411.25 | Entry:  403.02 | Target:  505.11 | Risk: LOW       
  ABSLAMC.NS      | Price: 1062.40 | Entry: 1041.15 | Target: 1226.69 | Risk: LOW       
  HSCL.NS         | Price:  679.50 | Entry:  665.91 | Target:  830.63 | Risk: LOW       
  WELCORP.NS      | Price: 1411.60 | Entry: 1383.37 | Target: 1642.74 | Risk: LOW       
  ERIS.NS         | Price: 1373.70 | Entry: 1346.23 | Target: 1595.62 | Risk: LOW       
  IIFL.NS         | Price:  508.05 | Entry:  497.89 | Target:  606.09 | Risk: LOW       
  REDINGTON.NS    | Price:  240.30 | Entry:  235.49 | Target:  284.10 | Risk: LOW       
  ATHERENERG.NS   | Price: 1032.80 | Entry: 1012.14 | Target: 1269.43 | Risk: LOW       
  OLAELEC.NS      | Price:   47.34 | Entry:   46.39 | Target:   59.72 | Risk: LOW       
  ANANTRAJ.NS     | Price:  540.75 | Entry:  529.93 | Target:  652.91 | Risk: LOW       
  RPOWER.NS       | Price:   27.78 | Entry:   27.22 | Target:   33.53 | Risk: LOW       
  DEEPAKFERT.NS   | Price: 1518.60 | Entry: 1488.23 | Target: 1800.39 | Risk: LOW       
  SAILIFE.NS      | Price: 1229.70 | Entry: 1205.11 | Target: 1432.20 | Risk: LOW       
  CGCL.NS         | Price:  203.20 | Entry:  199.14 | Target:  232.90 | Risk: LOW       
