Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-11 00:00:00+05:30,1358.8359859717586,1362.801248866974,1310.4788334460732,1316.1365966796875,189400,0.0,0.0
2016-01-12 00:00:00+05:30,1315.6530851531236,1328.274349761686,1306.6103208303275,1316.7169189453125,117095,0.0,0.0
2016-01-13 00:00:00+05:30,1319.5700308367802,1349.9866332225129,1287.0740472346902,1320.48876953125,165141,0.0,0.0
2016-01-14 00:00:00+05:30,1310.8656166485619,1348.8742648673,1294.1339958970173,1331.5625,114952,0.0,0.0
2016-01-15 00:00:00+05:30,1333.3031594235206,1352.549326472521,1314.3471824641802,1319.4246826171875,121314,0.0,0.0
2016-01-18 00:00:00+05:30,1311.7846351395963,1336.8336672387272,1298.921701616968,1305.739990234375,170876,0.0,0.0
2016-01-19 00:00:00+05:30,1320.7306063385204,1373.3432150919639,1304.7244587166115,1362.2210693359375,150741,0.0,0.0
2016-01-20 00:00:00+05:30,1362.7045348046308,1387.8502536867604,1300.9040713247377,1314.6375732421875,477896,0.0,0.0
2016-01-21 00:00:00+05:30,1333.6904080495995,1339.9284341629557,1314.444235692103,1322.90673828125,189511,0.0,0.0
2016-01-22 00:00:00+05:30,1331.7560395051091,1364.6389046780748,1326.001585323624,1356.0797119140625,159715,0.0,0.0
2016-01-25 00:00:00+05:30,1360.7704097125056,1381.9508682730157,1354.91914644127,1374.4071044921875,113996,0.0,0.0
2016-01-27 00:00:00+05:30,1398.48865693191,1398.48865693191,1342.2009864285503,1346.262939453125,228839,0.0,0.0
2016-01-28 00:00:00+05:30,1353.03342579444,1377.840674118007,1335.0928710306289,1363.0433349609375,186359,0.0,0.0
2016-01-29 00:00:00+05:30,1373.2466485790771,1436.9330044686187,1369.4747665001273,1424.6019287109375,318543,0.0,0.0
2016-02-01 00:00:00+05:30,1433.3059452330867,1457.6779019363473,1421.7002290773532,1449.1671142578125,216940,0.0,0.0
2016-02-02 00:00:00+05:30,1457.3877742228365,1474.893038477467,1377.7918600700777,1387.1732177734375,282208,0.0,0.0
2016-02-03 00:00:00+05:30,1373.2948000491608,1448.6352712842524,1363.7201777898015,1435.7723388671875,290952,0.0,0.0
2016-02-04 00:00:00+05:30,1460.386255394848,1460.386255394848,1365.6062202765067,1375.229248046875,239809,0.0,0.0
2016-02-05 00:00:00+05:30,1386.8831948173333,1412.9476539396633,1368.6041667549202,1408.1119384765625,127527,0.0,0.0
2016-02-08 00:00:00+05:30,1400.4231338698012,1422.6674239796116,1385.9159881460118,1405.839111328125,104129,0.0,0.0
2016-02-09 00:00:00+05:30,1387.850319779661,1406.0326569071779,1373.4398642759807,1388.043701171875,94810,0.0,0.0
2016-02-10 00:00:00+05:30,1378.1791470836754,1408.740850522898,1374.9875270982159,1399.456298828125,214115,0.0,0.0
2016-02-11 00:00:00+05:30,1383.0145300387505,1411.9321301878147,1367.3951465246744,1376.0511474609375,92229,0.0,0.0
2016-02-12 00:00:00+05:30,1378.2757113149885,1385.9161659885078,1295.9718509592467,1358.4976806640625,362415,0.0,0.0
2016-02-15 00:00:00+05:30,1378.1786658676242,1422.8606217056622,1339.492948930989,1397.1346435546875,295431,0.0,0.0
2016-02-16 00:00:00+05:30,1394.1367741671713,1407.1932059751887,1366.5731959058016,1377.4051513671875,127262,0.0,0.0
2016-02-17 00:00:00+05:30,1373.3916060207537,1386.496324186661,1324.9860466545883,1375.0841064453125,178587,0.0,0.0
2016-02-18 00:00:00+05:30,1383.0146594499572,1405.210546795666,1373.3432282649924,1382.91796875,163690,0.0,0.0
2016-02-19 00:00:00+05:30,1378.6626352646251,1392.1542357166982,1368.5076316376321,1381.7574462890625,116095,0.0,0.0
2016-02-22 00:00:00+05:30,1379.1461469980968,1402.2608921480369,1360.77042694693,1381.1771240234375,91313,0.0,0.0
2016-02-23 00:00:00+05:30,1378.1789856965615,1398.440587420384,1373.3916743384545,1390.0264892578125,108844,0.0,0.0
2016-02-24 00:00:00+05:30,1390.0263472132222,1412.0288515785733,1378.0821541696366,1391.38037109375,175968,0.0,0.0
2016-02-25 00:00:00+05:30,1385.91616159619,1409.7078599488923,1385.91616159619,1397.231689453125,151914,0.0,0.0
2016-02-26 00:00:00+05:30,1402.3573850283858,1407.1931001491735,1379.194356823594,1386.4962158203125,81389,0.0,0.0
2016-02-29 00:00:00+05:30,1392.5894107619583,1434.756827444352,1370.0549287020062,1415.75244140625,251871,0.0,0.0
2016-03-01 00:00:00+05:30,1430.4043935530046,1449.747252154127,1426.7292031950153,1448.00634765625,255374,0.0,0.0
2016-03-02 00:00:00+05:30,1460.386066062953,1494.139383519611,1441.2849900333217,1448.63525390625,370595,0.0,0.0
2016-03-03 00:00:00+05:30,1440.0759668954347,1451.05301663765,1371.699002124919,1381.85400390625,462370,0.0,0.0
2016-03-04 00:00:00+05:30,1387.8501946796873,1389.7844806653036,1334.6573300752393,1363.768310546875,345879,0.0,0.0
2016-03-08 00:00:00+05:30,1363.671770492389,1366.5247954125427,1345.8763138471209,1361.785888671875,185424,0.0,0.0
2016-03-09 00:00:00+05:30,1359.0294543894156,1359.0294543894156,1331.6109707633814,1348.294189453125,431486,0.0,0.0
2016-03-10 00:00:00+05:30,1353.9038125080308,1378.1790836323978,1344.377475436572,1357.91748046875,296303,0.0,0.0
2016-03-11 00:00:00+05:30,1357.8688943491318,1377.1150653951743,1354.967465087702,1368.3140869140625,198719,0.0,0.0
2016-03-14 00:00:00+05:30,1378.1789529222763,1379.4845725289415,1352.6463508141394,1362.0277099609375,117752,0.0,0.0
2016-03-15 00:00:00+05:30,1362.0277388057661,1362.6080010810767,1305.6432462086718,1309.7052001953125,190320,0.0,0.0
2016-03-16 00:00:00+05:30,1310.9625530467313,1323.051842543658,1280.497543514476,1315.314697265625,284410,0.0,0.0
2016-03-17 00:00:00+05:30,1329.7252564692437,1345.683119835413,1322.3265871148517,1337.46240234375,206801,0.0,0.0
2016-03-18 00:00:00+05:30,1333.9804324376082,1354.5322218857295,1310.3337144486866,1350.5185546875,256494,0.0,0.0
2016-03-21 00:00:00+05:30,1354.0003571599684,1368.5075038438254,1334.2706140580308,1355.2576904296875,399776,0.0,0.0
2016-03-22 00:00:00+05:30,1361.6681963764743,1380.2200394851213,1340.8823114069037,1350.0125732421875,287944,6.0,0.0
2016-03-23 00:00:00+05:30,1342.339259798748,1370.7984536164124,1342.339259798748,1352.197998046875,188225,0.0,0.0
2016-03-28 00:00:00+05:30,1358.2686211100047,1366.0390364269188,1327.8183298002734,1335.5887451171875,128023,0.0,0.0
2016-03-29 00:00:00+05:30,1320.9707733433168,1328.5954706377888,1290.277652617298,1298.485107421875,229900,0.0,0.0
2016-03-30 00:00:00+05:30,1302.7103096642763,1311.2092029125222,1267.5492215955358,1282.9443359375,285966,0.0,0.0
2016-03-31 00:00:00+05:30,1277.2621888024437,1308.3438542333777,1254.92224177396,1291.15185546875,490746,0.0,0.0
2016-04-01 00:00:00+05:30,1298.630781429204,1314.17161351811,1286.003855356968,1310.23779296875,192858,0.0,0.0
2016-04-04 00:00:00+05:30,1317.0853378171014,1325.6813356668636,1302.03015880813,1315.482666015625,145809,0.0,0.0
2016-04-05 00:00:00+05:30,1313.880463727221,1328.7414350992765,1302.0306240866812,1308.5869140625,124200,0.0,0.0
2016-04-06 00:00:00+05:30,1303.487417253177,1317.4741911964475,1296.9311280829393,1310.4322509765625,71835,0.0,0.0
2016-04-07 00:00:00+05:30,1311.2575594372922,1332.7233076228035,1307.7608963255514,1315.62841796875,108498,0.0,0.0
2016-04-08 00:00:00+05:30,1311.646318930943,1340.3968360487036,1304.4586600097166,1331.315185546875,413123,0.0,0.0
2016-04-11 00:00:00+05:30,1319.028201769618,1342.7279958241213,1307.4696835045993,1314.0745849609375,220906,0.0,0.0
2016-04-12 00:00:00+05:30,1311.2575291394523,1319.5135950636638,1306.9837771829066,1310.529052734375,153608,0.0,0.0
2016-04-13 00:00:00+05:30,1311.3548354882748,1323.88465527881,1302.1760788121344,1309.4122314453125,189753,0.0,0.0
2016-04-18 00:00:00+05:30,1311.9860835940672,1326.798438045157,1298.6306820398058,1322.2818603515625,274622,0.0,0.0
2016-04-20 00:00:00+05:30,1329.2267086211452,1351.5180407798646,1324.6130243931946,1346.613037109375,309626,0.0,0.0
2016-04-21 00:00:00+05:30,1361.2310335107547,1361.2310335107547,1326.9926407011285,1336.7542724609375,311154,0.0,0.0
2016-04-22 00:00:00+05:30,1330.6837339542037,1350.109773865944,1317.0855060159856,1319.3680419921875,193174,0.0,0.0
2016-04-25 00:00:00+05:30,1317.085492144214,1329.7124179538562,1282.1672331974812,1287.120849609375,235523,0.0,0.0
2016-04-26 00:00:00+05:30,1281.1475118019862,1291.686116218238,1267.6950009904303,1287.9952392578125,239769,0.0,0.0
2016-04-27 00:00:00+05:30,1291.7346535895442,1300.5734787608974,1272.454331109244,1279.0106201171875,231338,0.0,0.0
2016-04-28 00:00:00+05:30,1286.9752378030782,1286.9752378030782,1257.836175815084,1275.46533203125,409825,0.0,0.0
2016-04-29 00:00:00+05:30,1276.38813239181,1286.246872933845,1259.0018001826143,1274.494140625,181374,0.0,0.0
2016-05-02 00:00:00+05:30,1265.606396201979,1277.6019511478735,1255.9419895672725,1269.0545654296875,138461,0.0,0.0
2016-05-03 00:00:00+05:30,1276.290785446049,1286.0038051221986,1253.028150748525,1256.86474609375,271266,0.0,0.0
2016-05-04 00:00:00+05:30,1248.1230221905168,1272.405571260371,1243.266512376546,1269.1517333984375,214814,0.0,0.0
2016-05-05 00:00:00+05:30,1274.3482733962308,1275.8538389814448,1255.2621646429882,1264.4410400390625,115007,0.0,0.0
2016-05-06 00:00:00+05:30,1259.4389140460864,1298.5823182309834,1251.425671578771,1294.357177734375,214154,0.0,0.0
2016-05-09 00:00:00+05:30,1303.584286584285,1306.4010858731997,1289.8889531893003,1298.14501953125,240658,0.0,0.0
2016-05-10 00:00:00+05:30,1304.4583736481252,1306.40097733189,1258.8071870796502,1263.6636962890625,395379,0.0,0.0
2016-05-11 00:00:00+05:30,1256.8162521351383,1284.9355178906117,1252.979656427973,1282.41015625,270580,0.0,0.0
2016-05-12 00:00:00+05:30,1286.975069265628,1290.471732532848,1272.5026466600825,1284.6439208984375,149049,0.0,0.0
2016-05-13 00:00:00+05:30,1293.7745952463827,1293.7745952463827,1273.8142866090698,1285.567138671875,110336,0.0,0.0
2016-05-16 00:00:00+05:30,1291.8317914028744,1307.7125570048104,1287.6551449511776,1305.2843017578125,259988,0.0,0.0
2016-05-17 00:00:00+05:30,1308.343678894375,1324.8558114416685,1294.599733090114,1299.7476806640625,215961,0.0,0.0
2016-05-18 00:00:00+05:30,1296.6882072167996,1319.4166983825673,1289.8890930216553,1317.9111328125,149865,0.0,0.0
2016-05-19 00:00:00+05:30,1319.9991913419344,1325.7298958713386,1273.3767033475174,1283.0897216796875,102928,0.0,0.0
2016-05-20 00:00:00+05:30,1279.7389920319845,1304.4585803989894,1274.882482052837,1291.0545654296875,175391,0.0,0.0
2016-05-23 00:00:00+05:30,1296.6882568914336,1324.1761527602605,1296.5425378682412,1319.6109619140625,192837,0.0,0.0
2016-05-24 00:00:00+05:30,1330.635239619162,1330.635239619162,1302.5160917761339,1321.5535888671875,152475,0.0,0.0
2016-05-25 00:00:00+05:30,1328.6443382971593,1330.5869427486305,1284.5471935353298,1301.4478759765625,362778,0.0,0.0
2016-05-26 00:00:00+05:30,1310.2862807718718,1317.8624831209029,1298.9705897708316,1307.2752685546875,168898,0.0,0.0
2016-05-27 00:00:00+05:30,1301.058876292119,1318.4452037648787,1297.6593196911317,1309.5091552734375,112823,0.0,0.0
2016-05-30 00:00:00+05:30,1310.043371801702,1366.0389472366226,1309.5091083566956,1358.89990234375,338648,0.0,0.0
2016-05-31 00:00:00+05:30,1364.6792112319313,1364.6792112319313,1307.6152228619128,1329.8094482421875,519143,0.0,0.0
2016-06-01 00:00:00+05:30,1336.5113886523013,1377.3060676663977,1329.8093819579892,1372.8865966796875,281108,0.0,0.0
2016-06-02 00:00:00+05:30,1369.5357904941077,1373.4209984104032,1351.2267719019933,1361.1826171875,149565,0.0,0.0
2016-06-03 00:00:00+05:30,1362.979402745202,1368.515776195349,1321.0677016909922,1327.2840576171875,223031,0.0,0.0
2016-06-06 00:00:00+05:30,1325.8272378564814,1325.8272378564814,1304.1671557012742,1315.1915283203125,112677,0.0,0.0
2016-06-07 00:00:00+05:30,1316.114043869699,1323.593020898788,1303.924157881547,1310.9176025390625,156744,0.0,0.0
2016-06-08 00:00:00+05:30,1314.1717211141984,1338.9399242837565,1309.3152106887949,1321.7479248046875,270174,0.0,0.0
2016-06-09 00:00:00+05:30,1327.7698108536595,1354.383508903144,1313.8316511100643,1348.701416015625,216724,0.0,0.0
2016-06-10 00:00:00+05:30,1349.041362927296,1349.041362927296,1301.9817101865294,1316.4056396484375,301458,0.0,0.0
2016-06-13 00:00:00+05:30,1312.4718859664956,1314.6087030348287,1275.4166893023755,1280.85595703125,219740,0.0,0.0
2016-06-14 00:00:00+05:30,1282.1182906214601,1289.8887045040144,1271.7739034268884,1287.6546630859375,164119,0.0,0.0
2016-06-15 00:00:00+05:30,1293.7740877128315,1298.9220350382375,1277.2619559627428,1284.4010009765625,239179,0.0,0.0
2016-06-16 00:00:00+05:30,1282.118631322537,1288.5292007657222,1265.6551099608187,1270.074462890625,263697,0.0,0.0
2016-06-17 00:00:00+05:30,1281.1473360777434,1282.3128510491392,1252.9795781200069,1257.7874755859375,335605,0.0,0.0
2016-06-20 00:00:00+05:30,1243.2665584351564,1267.549108404593,1243.2665584351564,1262.7412109375,120646,0.0,0.0
2016-06-21 00:00:00+05:30,1271.4343040936699,1280.0303029862234,1265.6064921574118,1269.6859130859375,114652,0.0,0.0
2016-06-22 00:00:00+05:30,1274.15401863439,1274.15401863439,1254.1937149883584,1268.8603515625,101446,0.0,0.0
2016-06-23 00:00:00+05:30,1267.5491107958364,1270.3659103110328,1255.9420993154044,1265.70361328125,119245,0.0,0.0
2016-06-24 00:00:00+05:30,1251.9111174327293,1272.3569525092164,1231.4651637891086,1268.5689697265625,139827,0.0,0.0
2016-06-27 00:00:00+05:30,1254.2422272296749,1275.3680441666465,1254.2422272296749,1265.460693359375,174336,0.0,0.0
2016-06-28 00:00:00+05:30,1266.8689173647517,1287.8975053556223,1265.8490031024912,1281.292724609375,231423,0.0,0.0
2016-06-29 00:00:00+05:30,1286.9751727883674,1287.7036493012665,1272.5998555069693,1277.9420166015625,129610,0.0,0.0
2016-06-30 00:00:00+05:30,1278.233453742636,1286.8780654031077,1269.7345610980703,1277.747802734375,239072,0.0,0.0
2016-07-01 00:00:00+05:30,1278.2335251889297,1300.5734728176117,1276.8251846131109,1291.68603515625,194781,0.0,0.0
2016-07-04 00:00:00+05:30,1296.6882683115464,1309.3151952688872,1291.8803704738793,1304.9443359375,113802,0.0,0.0
2016-07-05 00:00:00+05:30,1304.4099724012897,1311.2576989225183,1292.3659224648975,1306.692626953125,99081,0.0,0.0
2016-07-07 00:00:00+05:30,1274.4451361503427,1325.2442704309942,1274.4451361503427,1318.2994384765625,142705,0.0,0.0
2016-07-08 00:00:00+05:30,1327.7699325539672,1349.3814036580827,1324.1761623140744,1330.8780517578125,232027,0.0,0.0
2016-07-11 00:00:00+05:30,1335.5401617123598,1340.4452839149558,1317.9596203879723,1322.8646240234375,143710,0.0,0.0
2016-07-12 00:00:00+05:30,1324.2728214496267,1342.3390101741497,1319.5134191907252,1339.1336669921875,135544,0.0,0.0
2016-07-13 00:00:00+05:30,1342.3392439372049,1355.9374707209392,1335.540130545338,1351.0323486328125,188248,0.0,0.0
2016-07-14 00:00:00+05:30,1350.1097662123848,1350.1097662123848,1328.741122430606,1331.4608154296875,120880,0.0,0.0
2016-07-15 00:00:00+05:30,1337.191468223753,1344.1849140373042,1329.2754514681465,1339.862548828125,158804,0.0,0.0
2016-07-18 00:00:00+05:30,1336.5116149229686,1343.310729243071,1320.0965866367212,1322.6219482421875,90889,0.0,0.0
2016-07-19 00:00:00+05:30,1328.741150789776,1328.741150789776,1293.2886273951658,1302.904541015625,252487,0.0,0.0
2016-07-20 00:00:00+05:30,1303.4871739428552,1304.6041948619697,1288.966257695753,1295.1824951171875,218106,0.0,0.0
2016-07-21 00:00:00+05:30,1295.4253473282083,1311.2576163450042,1289.8889737082707,1294.7454833984375,236119,0.0,0.0
2016-07-22 00:00:00+05:30,1301.6906963133772,1305.3815736160727,1291.4434104460904,1295.911376953125,76202,0.0,0.0
2016-07-25 00:00:00+05:30,1296.6883431441315,1316.0172792385124,1283.1872198279264,1314.1231689453125,125998,0.0,0.0
2016-07-26 00:00:00+05:30,1314.171775632063,1322.3792311646182,1308.586788411158,1316.1143798828125,80600,0.0,0.0
2016-07-27 00:00:00+05:30,1316.1142201617415,1333.1120052929818,1302.5159920567494,1318.1539306640625,179374,0.0,0.0
2016-07-28 00:00:00+05:30,1318.1537935796537,1323.690285586904,1302.5158565986435,1309.266357421875,374325,0.0,0.0
2016-07-29 00:00:00+05:30,1309.9949051060898,1325.8271744698359,1303.6329484128335,1322.816162109375,107074,0.0,0.0
2016-08-01 00:00:00+05:30,1324.3700509689775,1339.4252293995014,1323.8844000518638,1334.18017578125,126523,0.0,0.0
2016-08-02 00:00:00+05:30,1335.4429589490044,1349.0411850696664,1317.0853299726864,1322.427490234375,147724,0.0,0.0
2016-08-03 00:00:00+05:30,1320.9708424819278,1328.7412592024095,1298.193855896875,1301.739013671875,82995,0.0,0.0
2016-08-04 00:00:00+05:30,1302.515767602566,1325.8756242843292,1298.6305602420812,1319.5135498046875,151809,0.0,0.0
2016-08-05 00:00:00+05:30,1328.7412378070796,1328.7412378070796,1303.97303490936,1323.3504638671875,133991,0.0,0.0
2016-08-08 00:00:00+05:30,1323.3504062185186,1369.5358652721052,1320.9707636667115,1365.019287109375,221666,0.0,0.0
2016-08-09 00:00:00+05:30,1366.5249407076183,1401.5889226118513,1344.2820990261969,1362.10546875,268271,0.0,0.0
2016-08-10 00:00:00+05:30,1366.1363280360886,1370.2157492034373,1334.1804670013746,1340.8338623046875,122331,0.0,0.0
2016-08-11 00:00:00+05:30,1343.310513002543,1352.0522300068978,1326.7012744076937,1342.9705810546875,131800,0.0,0.0
2016-08-12 00:00:00+05:30,1344.5733567266684,1382.1626953215605,1339.6196218545913,1375.0721435546875,316873,0.0,0.0
2016-08-16 00:00:00+05:30,1383.7167756758236,1391.8271234876668,1359.822770704023,1371.672607421875,221890,0.0,0.0
2016-08-17 00:00:00+05:30,1374.2949867652376,1382.0167889081563,1363.1250156894753,1372.012451171875,141459,0.0,0.0
2016-08-18 00:00:00+05:30,1372.4495841542575,1376.771830180688,1355.160362914282,1359.579833984375,109024,0.0,0.0
2016-08-19 00:00:00+05:30,1354.9662526433524,1365.3591363299633,1347.2444493830992,1352.8779296875,82979,0.0,0.0
2016-08-22 00:00:00+05:30,1356.4718767043596,1364.4851183294638,1330.683760774895,1334.374755859375,156224,0.0,0.0
2016-08-23 00:00:00+05:30,1335.5402244618658,1335.5402244618658,1309.4121774480575,1315.0457763671875,172803,0.0,0.0
2016-08-24 00:00:00+05:30,1306.40117882198,1325.827218655764,1306.40117882198,1318.9794921875,165437,0.0,0.0
2016-08-25 00:00:00+05:30,1318.979373684298,1325.6813805382417,1309.3149671621404,1316.5997314453125,165854,0.0,0.0
2016-08-26 00:00:00+05:30,1316.5997520311344,1324.2730609094779,1305.3811674327892,1313.2001953125,100278,0.0,0.0
2016-08-29 00:00:00+05:30,1309.2179423022785,1318.0081539450152,1289.9861159689337,1302.807373046875,116272,0.0,0.0
2016-08-30 00:00:00+05:30,1300.7675840280247,1310.772042001464,1298.3393290409897,1303.7301025390625,140266,0.0,0.0
2016-08-31 00:00:00+05:30,1311.2575968980332,1329.7123334469684,1307.3237766804873,1311.208984375,374014,0.0,0.0
2016-09-01 00:00:00+05:30,1313.2004305167334,1333.5977744818601,1307.1297924318742,1317.7655029296875,409739,0.0,0.0
2016-09-02 00:00:00+05:30,1319.0282307750251,1338.4542724653788,1308.3439078453305,1334.8118896484375,212780,0.0,0.0
